"te","Rank","Points","Risk","ADP","Vid","Notes"
"Nick Vannett SEA (7)","30","62.06","3.67","0.00","","Vannett has received a lot of sleeper love after Jimmy Graham and his double digit touchdowns went away. While it’s “possible,” count us skeptical. The Seahawks went out and gave a contract worth up to $14 million dollars to Ed Dickson, a man they believe was simply buried by Greg Olsen in Carolina. Based on early reports out of camp Ed Dickson appears to have the faster track to fantasy production."
"Gerald Everett LAR (12)","31","58.97","3.67","0.00","","Gerald Everett was a 2nd round draft pick in a loaded tight end class in 2017. The good news for Everett is that he is on a creative and high powered offense now that Sean McVay is there. The bad news is that there are an abundance of mouths to feed and they are all more proven than him. With Cooks, Woods, Kupp, and even Gurley ahead in the passing game it is hard to see where he breaks in."
"Mike Gesicki MIA (11)","32","57.42","6.67","0.00","","Gesicki (Guh-sick-ee) is an athletic freak who destroyed the combine testing as a 97th percentile athlete. Many people’s #1 rated rookie tight end actually finds himself in a somewhat desirable situation. The Dolphins lost a lot of targets with Jarvis Landry gone as well as having the incumbent starter, Julius Thomas, leave town. It’s possible that Gesicki is involved in his rookie year although we should pump the breaks based on the history of Ryan Tannehill and rookie tight ends underperforming in year one."
"Jesse James PIT (7)","33","55.23","3.67","0.00","","Jesse James has good games every now and then. That’s about the best you can say regarding this most vanilla of tight ends. The ceiling is low, especially with early reports of Vance McDonald being featured in the passing game. He shouldn’t be drafted in any redraft or keeper leagues and is at best a weekly DFS play."
"Jake Butt DEN (10)","34","54.56","6.67","0.00","","Jake Butt was a very talented and promising rookie who was drafted by the Broncos last year knowing full well that he couldn’t play at all in 2017 due to injury. Now this offseason, the two most targeted TEs left town in A.J. Derby and Virgil Green. Jake Butt’s primary competition is Jeff Heuerman. Count us not scared of the competition. That being said, there isn’t a good history of TE utilization in Denver but hopefully Jake will butt his way into the lineup."
"Mark Andrews BAL (10)","35","44.92","7.00","0.00","","Mark Andrews was one of the main targets last year from fellow incoming rookie, Baker Mayfield. He projects to be a strictly pass catching tight end in the NFL, which is good for fantasy. Unfortunately, he was drafted behind another rookie tight end, Hayden Hurst, who went in the first round. Rookies don’t usually show much at tight end and it will be double tough to break out in year one splitting targets with Hurst."
"Jonnu Smith TEN (8)","36","43.49","3.67","0.00","","Jonnu Smith is a very promising tight end prospect, but he won’t have the opportunity to break out unless the starter, Delanie Walker, had to miss significant time. As such, Smith is a candidate only for dynasty leagues at this time and shouldn’t be drafted in redraft or keeper leagues just yet."
"Tyler Higbee LAR (12)","37","39.70","3.67","0.00","","Not only does Higbee have to contend with 3 more than competent WRs and an elite pass catching RB, he has to compete with 2nd year TE Gerald Everett. Higbee should not be on your fantasy radar."
"Tyler Kroft CIN (9)","38","38.70","3.67","0.00","","Kroft is an above average replacement for the oft-injured Tyler Eifert. With Eifert out last season Kroft stepped in and had a solid 7 touchdowns. Even still, he only finished as the tight end #15 despite being the 16 game starter. With Eifert (theoretically) back, Kroft will only be a waiver pickup after Eifert goes down."
"Adam Shaheen CHI (5)","39","35.84","5.00","0.00","","It was all looking good for the giant second year tight end when the Bears let John Fox go to allow their team to open up their offense and get the most out of Mitch Trubisky. Then they signed Trey Burton to a big money contract and all hope that Shaheen would take over the move-tight-end role all but vanished. He’s worth keeping an eye on, but not worth drafting in all redraft/keeper formats."
"Dallas Goedert PHI (9)","40","33.94","5.00","0.00","","Goedert was one of the most promising pass catching tight ends in this year’s rookie class. In fact, he was the #1 rookie tight end for all three of the Ballers prior to the draft. While his college film and production were fantastic, his landing spot leaves quite a lot to be desired. Goedert will be behind Zach Ertz, filling the shoes left by Trey Burton. If Ertz goes down, Goedert could make some noise, but he should not be drafted in normal redraft leagues."
"Jermaine Gresham ARI (9)","41","29.53","6.50","0.00","","Arizona does not have the deepest core of pass catching options, so it’s entirely possible that the tight end position could become valuable if the quarterback play is above average. Unfortunately for Gresham, he tore his achilles in Week 17 last season and now has to battle against promising second year player, Ricky Seals-Jones. Gresham would still be the starter for now, but you’ll need to monitor his health as we get closer to the season."
"Rico Gathers DAL (8)","42","23.07","6.50","0.00","","Rico has gathered so much hype from such little performance. Last year, in preseason, he put up two monster games and got the dynasty community salivating based on what they saw. Then he missed the entire season with concussion problems and has still yet to play a single snap in a meaningful NFL game. Everyone wants to know who Jason Witten’s replacement is going to be and the truth is, there probably won’t be one."
