"wr","Rank","Points","Risk","ADP","Vid","RP","Notes"
"Josh Gordon CLE (11)","26","163.57","6.00","4.08","","","It’s been years but we do know Josh Gordon’s upside is THE WR1. However, it’s a different Browns team with target hog Jarvis Landry in town. The Browns also have two new QBs in Tyrod Taylor and rookie Baker Mayfield. Throw in a new offensive coordinator in Todd Haley, the Browns offense is basically a fantasy wildcard."
"Corey Davis TEN (8)","27","160.38","5.00","5.11","","","Could this be a breakout campaign for Corey Davis? He was picked #5 overall by the Titans in 2017. Injuries hampered Davis in his rookie season, as well as a low scoring offense, as he finished with just 34 catches for 375 yards and 0 TDs in 11 games. Many believe Davis is the real deal and can grow to be one of elite receivers in the game. It will take a massive jump in targets and obviously production for that to happen. The Titans have a new head coach and offensive coordinator. Hopefully for Davis’ sake, they move away from the “exotic smash-mouth” mentality."
"Robby Anderson NYJ (11)","28","157.14","7.00","8.04","","","Anderson has shown big play potential in his first 2 seasons. That’s with terrible quarterback play in New York as well. With 63 catches for 941 yards and 7 TDs, Robby A. was the WR16 in Half PPR scoring. If Anderson can get past his legal issues and doesn't miss any time, he could be a big value in 2018."
"Sammy Watkins KC (12)","29","157.06","5.30","7.12","","","Sammy Watkins has to be one of the biggest wildcard picks in fantasy football drafts. What will the Chiefs offense look like with Patrick Mahomes instead of Alex Smith? The Chiefs paid Watkins well and he’s still just 25 years old. Expectations have been high since he was the 4th overall pick in the 2014 NFL Draft, but he has been hampered by injuries. Fellow WR Tyreek “the Freak” Hill has established himself as a game-breaking threat, but Watkins could be the more valuable receiver in the redzone, having scored 8 TDs with the Rams last season. It remains to be seen how Watkins fits in this offense but there’s certainly upside."
"Marquise Goodwin SF (11)","30","154.59","3.70","5.01","","","Marquise “Greatwin” is a speedster and had a solid stretch near the end of last season. This was without veteran WR Pierre Garcon in the lineup though. He can remain a threat in Kyle Shanahan’s offense, but it may be in a boom/bust fashion. While Garcon is back, all reports out of training camp indicate that Goodwin has had a strong connection with Jimmy Garoppolo throughout training camp. If you believe in the hype, you'll most likely have to grab Goodwin in the 7th Round."
"Randall Cobb GB (7)","31","153.77","5.30","7.11","","","Jordy Nelson is gone, along with his 88 targets from 2017. Davante Adams has cemented his role as the WR1 in the offense. The #2 and even #3 receiving options for Aaron Rodgers are still very fantasy relevant. After a big 2014 season, with 1200+ yards and 12 TDs, it’s been hard for fantasy owners to count on Cobb since then. Without Nelson there and Adams getting attracting the most attention from the defense, Cobb could be a big fantasy value."
"Cooper Kupp LAR (12)","32","153.56","3.30","8.01","","","After being drafted in the 3rd Round of last year’s NFL Draft, Kupp was surprisingly productive in 2017 (as was the entire Rams offense). On 94 targets he had 62 catches for 869 yards and 5 TDs. His red zone target numbers were through the roof. Kupp finished just outside the WR2 range in 2017, and that’s right around what we expect for 2018."
"Emmanuel Sanders DEN (10)","33","151.60","4.30","6.06","","","Often overlooked, Emmanuel Sanders has been a consistent fantasy producer, finishing as a Top 20 WR in 2015 and 2016. He had 130+ targets and 1000+ receiving yards in each of 2014-2016. Last season was injury plagued and Trevor Siemian plagued. While his Top 15 potential may be gone, he certainly has the skills and potential to win weeks for owners. Case Keenum should be the solid QB that Denver has been looking for since Peyton Manning retired. The Broncos did spend a 2nd Round pick on WR Courtland Sutton and a 4th Round pick on WR DaeSean Hamilton."
"Michael Crabtree BAL (10)","34","150.27","5.20","6.07","","","Crabby Patty revived his career when he signed with the Raiders back in 2015. Now he moves onto Baltimore; a less than ideal spot for wide receiver fantasy production. Since QB Joe Flacco entered the league in 2008, the highest WR finish was Derrick Mason as the WR17 in 2009. Over the nine seasons where Flacco played 16 games, the average highest WR finish for the Ravens is the WR24. So if you’re drafting Crabtree as your WR3, then he should be a solid value. He’s had no less than 8 TDs in each of the past three seasons. Crabtree will be 31 just after the start of the season."
"Pierre Garcon SF (11)","35","147.60","4.70","9.09","","","Garçon’s career had a resurgence when the 49ers signed him to 5-year $47,500,000 contract. Offensive guru, Kyle Shanahan, has now brought in QB Jimmy Garoppolo, and Garcon should be the #1 target. He gets a big boost in PPR leagues, but can’t be expected to score anymore than 5 TDs. He missed the 2nd half of 2017 due to a neck injury. The good news is that he avoided surgery and should be good to go for 2018."
"Sterling Shepard NYG (9)","36","144.07","3.00","9.12","","","In 2016, Shepard had a solid rookie season with 65 catches for 683 yards and 8 TDs. The Giants were terrible last season and he dealt with injuries. Still, in his healthy weeks without Odell in the lineup, he made the most of big target share games. Targets could be hard to come by with Odell Beckham & Evan Engram in the offense. Add in that the Giants drafted RB Saquon Barkley 2nd overall; they could have a competent run game for the first time in awhile. One more plus for Shepard is that the new offensive coordinator, Pat Shurmur, comes from the Vikings. He of course aided the fantasy success of Stefon Diggs and Adam Thielen."
"Kelvin Benjamin BUF (11)","37","144.02","5.00","9.08","","","With 9 TDs and 1000 receiving yards in 2014, Benjamin appeared to be on his way to a successful NFL career. However, injuries have hampered his fantasy production and caused him to miss all of 2015. He was traded to the Bills part way through last season. His hope is that the Bills hit big on their 1st Round pick from the 2018 NFL Draft, QB Josh Allen."
"Robert Woods LAR (12)","38","142.02","3.70","9.06","","","Woods had a solid, few game stretch in 2017 with the breakout of the LA Rams. He was plagued by injuries though, missing 4 games. Sammy Watkins is no longer with the team. Now, Cooper Kupp remains, and Brandin Cooks comes to town. Cooks has over 1000 receiving yards each of the past 3 seasons. Fantasy owners may be left disappointed with Woods where he’s being drafted."
"Nelson Agholor PHI (9)","39","141.78","4.00","9.04","","","Lead for dead in the fantasy world after two seasons, Agholor proved that he belongs in the NFL. He was a 1st Round draft pick by the Eagles, who were coached by Chip Kelly at the time. Last year as Carson Wentz and the Eagles broke out, Agholor was a part of that. On 95 targets, he finished as the fantasy WR23 with 62 receptions for 768 yards and 8 TDs. The touchdown number most likely comes down, but yards could come up. Alshon Jeffery COULD start the season on the PUP, missing six weeks. This in theory would mean a big boost in targets for Agholor. However, there's also a chance that Carson Wentz isn't ready to go Week 1."
"Keelan Cole JAC (9)","40","141.63","3.70","13.01","","","Cole is an exciting sleeper pick. As an undrafted rookie last season, Cole burst onto the scene halfway through the year and legitimately helped lead fantasy owners to championships last season. It's a crowded WR core in Jacksonville, but if he wins the job he has already shown the ability to produce at a high level in the NFL. | UPDATE: Marqise Lee left Week 3 of preseason with a knee injury. If the injury is significant, Cole could see an uptick in targets."
"Allen Hurns DAL (8)","41","140.73","5.00","11.03","","","The opportunity is there for Hurns as the WR corps in Dallas is thin. He signed a 2-year, $12 million deal with Dallas this offseason. With Dez Bryant and Jason Witten gone, that’s 219 targets up for grabs. Cole Beasley and Terrance Williams are still around, and they drafted Michael Gallup in Round 3 this year."
"Devin Funchess CAR (4)","42","136.51","4.30","8.11","","","2017 Footie Award winner for Nickname of the Year! “Devin S. Scrumptious” now has competition for targets at the WR position. The Panthers selected D.J. Moore in 1st Round of the NFL Draft. Much of Funchess’ production in 2017 was with veteran TE Greg Olsen injured (and out). We don’t like Funchess where he’s being drafted on average."
"Kenny Stills MIA (11)","43","135.84","4.70","10.06","","","161 targets (Jarvis Landry) left the Dolphins this season. They did bring in free agents, Danny Amendola and Albert Wilson, but Stills could be the biggest benefactor. He’s shown the ability to find the endzone on low target numbers. Over the past two seasons he has 15 TDs, which is tied for 7th among WRs. His highest fantasy season finish (Half PPR) was the WR27 on 105 targets last season."
"Will Fuller HOU (10)","44","135.70","5.30","6.11","","","He started the season late due to injury, but when Fuller and Deshaun Watson were both healthy, they were putting up insane numbers. Unsustainable numbers. Last year, in a span of four games, Fuller scored 7 TDs! He exited early in Week 17 with a left knee injury. If he is healthy, and Watson is healthy, he’s certainly worth a boom flex play."
"Jamison Crowder WAS (4)","45","134.56","3.70","7.07","","","Crowder was a solid PPR fantasy producer for a stretch in 2016. The Redskins offense lacked weapons in 2017 and Crowder was the main target for a few weeks. It’s uncertain how the new Redskins offense will shake out in 2018. There are a few main moving pieces, the biggest being new QB Alex Smith. Terrelle Pryor is gone, but Josh Doctson is entering his 3rd season, and the Redskins signed Paul Richardson to a 5-year, $40 million contract. Jordan Reed could remain the top target when he’s on the field."
"Donte Moncrief JAC (9)","46","133.14","5.30","0.00","","","Part of Donte Moncrief’s upside the past four years has been QB Andrew Luck. He showed potential but has missed many games due to injury. This offseason Moncrief signed a 1-year, $9.6 million deal with Blake Bortles and the Jaguars. It’s a murky receiving corps with Marqise Lee, Dede Westbrook, Keelan Cole, and 2nd round rookie pick, D.J. Chark. In 2017, the Jaguars winning formula included having the 11th least amount of passing attempts. | UPDATE: Marqise Lee left week 3 preseason with what could be a knee injury. If he were to miss significant time, it could mean more targets for Moncrief."
"D.J. Moore CAR (4)","47","125.89","5.70","10.09","","","Moore is one of, if not the, most athletic wide receiver in this year’s rookie draft class. The NFL took notice of his athleticism and production in college as he was the first wide receiver drafted in 2018. He goes to a team in Carolina that appears to be missing a true WR1, which means he has a clear enough path to targets even in his rookie season. While Cam Newton might not be the most prolific passer, he has supported several fantasy WR1s in the past."
"Kenny Golladay DET (6)","48","125.21","5.70","12.05","","","Kenny G, oh so smooth… at times… but he dealt with injuries in his 2017 rookie season. Some highlight reel grabs make Kenny G look like he could be special. However, targets may be hard to come by as Marvin Jones broke out and Golden Tate remained solid in 2017. First Golladay needs to stay healthy before being considered a reliable fantasy factor."
"DeSean Jackson TB (5)","49","124.03","5.30","0.00","","","The story of DeSean Jackson is that he can blow up for a big game at any point, but is hard to trust as a consistent fantasy producer. The Buccaneers offense struggled as a whole in 2017. They need to be better for Jackson to be fantasy relevant. He’s only played a full season twice in his 10-year career and has only surpassed 62 receptions in one season. In those 9 seasons, he’s been a WR1 twice and a WR2 twice, finishing outside the Top 24 among wideouts the other 6 seasons. | UPDATE: The word out of training camp is that 2nd year wideout Chris Godwin could be lining up as the WR2 across from Mike Evans."
"Jordy Nelson OAK (7)","50","123.77","7.30","8.08","","","Long time Packers WR, Jordy Nelson, heads to the Raiders. QB Aaron Rodgers to Derek Carr is a colossal drop off. Other things working against Jordy are his age (33), and that new head coach, Jon Gruden, wants to run the ball. If you want something to believe in, he was THE WR1 just two seasons ago in 2016. However, he was younger and was with Aaron Rodgers."
"Julian Edelman NE (11)","51","122.71","5.30","6.03","","","Now age 32 and coming off a torn ACL, Edelman may come at a big discount in your fantasy draft. Especially in PPR formats, Edelman will be a value pick as long as he’s healthy. If he can play close to 16 games (with Brady at QB), he should hit at least 90 receptions and 1000 yards. | UPDATE: Edelman has been suspended for four games"
"Dede Westbrook JAC (9)","52","120.30","4.70","13.11","","","Westbrook looked good at times in his rookie season. One problem is that it’s a crowded WR corps as the Jaguars signed Donte Moncrief in the offseason, and drafted D.J. Chark in the 2nd Round. Marqise Lee and Keelan Cole sure looked good at times last year too. Lastly, the Jaguars are clearly a run-first offense. | UPDATE: Marqise Lee left Week 3 of Preseason with what could be a significant knee injury. If he were to miss significant time, that could be an uptick in targets for Westbrook."
"Tyrell Williams LAC (8)","53","119.99","4.00","0.00","","","Williams was a sneaky good player in 2016 finishing as the WR15! That’s what 119 targets from Philip Rivers can do for you. However, once Keenan Allen returned (and stayed healthy) in 2017, Williams’ targets dropped to 69. This was also without Mike Williams in the lineup for a number of games. The Chargers used the 7th overall pick in the 2017 NFL Draft on him. Even with TE Hunter Henry out for the season, we project Williams outside of the WR4 range."
"Chris Godwin TB (5)","54","119.29","4.30","13.03","","","Godwin was a big Matt Harmon favorite coming out of college. Once he was drafted to the Buccaneers, it was clear that it would be awhile before he saw very much opportunity. Elite WR Mike Evans is there and they brought in veteran DeSean Jackson last offseason. However, reports out of training camp indicate that Godwin could be the WR2 across from Mike Evans, over DJax."
"Tyler Lockett SEA (7)","55","119.25","5.30","12.09","","","Many have been waiting for the breakout, especially after Lockett was deemed a Matt Harmon favorite. The problem is that he’s on the Seattle Seahawks. Their winning formula has consisted of running the ball a lot and playing stellar defense. Even last year when the Seahawks couldn’t run the ball well, and Russell Wilson threw for 34 TDs… Lockett finished with 45 catches for 555 yards and 2 TDs. This offense has only supported one wideout for fantasy (Doug Baldwin). Jimmy Graham and Paul Richardson are no longer on the team (175 targets in 2017) but they’ve signed veteran WR Brandon Marshall and Jaron Brown. Maybe he’ll never breakout, or maybe he needs a new team. (Think Golden Tate from the recent past.)"
"John Brown BAL (10)","56","117.27","7.30","11.08","","","Brown has shown so much potential, but has been plagued by injuries. In his 2nd season, he topped 1000 yards and had 7 TDs, but the last two seasons have been disappointing. He now joins a crowded Ravens receiving corps which includes Michael Crabtree and Willie Snead. If he can stay healthy, Crabtree should still be the #1 target in the offense. Joe Flacco has not shown be great for fantasy receiver success."
"Danny Amendola MIA (11)","57","116.41","6.50","13.10","","","Amendola leaves a proven elite offense to what could be one the worst offenses in the league in The Dolphins. Jarvis Landry was a big fantasy contributor with a ton of targets, but he’s a big step above Amendola who is 32 years old. He’s also no stranger to injuries. As disappointing as DeVante Parker has been, he’s still there along with Kenny Stills."
"Mike Williams LAC (8)","58","116.41","6.00","9.08","","","Williams was picked 7th overall in the 2017 NFL Draft. Injuries never let him get going in his rookie season, while Keenan Allen came back with a vengence to show that he IS the guy in that offense. Now with TE Hunter Henry out for the season, Williams could be a weapon near the red zone. Tyrell Williams has been fantasy relevant at times in this offense, so Mike Williams should certainly be able to as well if healthy."
"Ryan Grant IND (9)","59","115.37","4.00","0.00","","","The word out of training camp is that Ryan Grant will be the WR2 for this offense behind only T.Y. Hilton. If QB Andrew Luck stays healthy, Grant could be a solid late round value in drafts, or helpful waiver pickup."
"Paul Richardson WAS (4)","60","114.38","5.00","0.00","","","Former 2nd Round NFL Draft Pick, Paul Richardson signed a big deal with the Redskins this offseason. The Redskins, traded for veteran QB Alex Smith, who had an outlier season in 2017. He finished as the QB4, while the previous 5 seasons averaged to about the QB17. It’s hard to expect much from Richardson until we see what this offense looks like. Other competition for targets include wideouts- Jamison Crowder and Josh Doctson."
"Josh Doctson WAS (4)","61","114.20","5.30","14.02","","","Doctson was the 22nd overall pick in the 2016 NFL Draft. After missing most of his rookie season, he finished with 35 rec, 502 yards, and 6 TDs on 78 targets in 2017. This offseason, the Redskins lost QB Kirk Cousins in free agency and traded for Alex Smith. At WR they no longer have Terrelle Pryor, but signed Paul Richardson signed to a nice deal. Jamison Crowder sneakily remains as well. Finally, IF Jordan Reed is healthy, he’s still probably see a number of targets from Smith. It may be difficult for Doctson to see a big enough target share to have a big fantasy impact."
"Calvin Ridley ATL (8)","62","113.15","4.00","10.09","","","Ridley was the perfect draft pick for the Atlanta Falcons and Matt Ryan. He should make them an overall better offense immediately. Unfortunately for Ridley, it’s not the best landing spot for his fantasy production as he has zero chance to be the WR1 for this team. He’ll have his weeks due to his great route running and ability to murder a zone defense, but behind Julio and Sanu it will be difficult for him to be a breakout rookie."
"Mohamed Sanu ATL (8)","63","111.84","4.00","0.00","","","Sanu was surprisingly the WR30 in Half PPR scoring last year. That’s as good as it gets through with Julio Jones commanding so many targets. The Falcons also used their 1st Round pick this year on WR Calvin Ridley."
"Ted Ginn Jr NO (6)","64","111.14","3.70","0.00","","","The excitement for Ted Ginn signing with New Orleans last year was obviously because of QB Drew Brees. While Brees skillswise may have been the same, his stat line was not. The Saints offense was able to run and their defense was actually good for the first time in a long time. Ginn has had around 750 yards the past three seasons. However, the memory of the 9 TD season with Cam Newton in 2015 is still there for some. If Brees’ TD total balances out some, Ginn could have more than the 4 he had last season. The Saints also signed WR Cameron Meredith this offseason. We aren’t expecting Ginn to be very fantasy relevant."
"Devante Parker MIA (11)","65","110.77","6.80","13.01","","","Will the breakout ever happen? The opportunity should be there this year with target hog, Jarvis Landry, off to Cleveland. Parker was drafted to be a true WR1 in the NFL, but hasn’t shown any sort of consistent production. A handful of highlight reel catches show his raw talent. Another thing in his defense is the less than ideal QB play over his first three seasons (Ryan Tannehill/Matt Moore/Jay Cutler). Maybe, just maybe with Jarvis Landry gone, Parker can shine with increased targets. Kenny Stills… still looms though. | UPDATE: Parker has suffered a broken finger in training camp. He's hoping to be ready for Week 1."
"Taywan Taylor TEN (8)","66","109.83","5.30","14.02","","","The Titans not only took Corey Davis #4 overall in 2017, but also Taywan Taylor in Round 3 of that draft. He didn’t play many snaps in 2017, and therefore didn’t have much of an impact. We’ll see what 2018 holds with a new head coach and offensive coordinator in town."
"Jermaine Kearse NYJ (11)","67","105.68","5.00","0.00","","","If Robby Anderson is in the lineup, it seems that he’s taken over the WR1 role for the Jets. Kearse will compete for the WR2 role with Terrelle Pryor and Quincy Enunwa."
